,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,1,,,,119.9,,,1.7,,
2일,,,,,7,,43.9,,,,,
3일,,0,,,,,0,0,89.8,,,10.6
4일,,0,11.5,21.1,,0,,,18.9,,,16.8
5일,,,18.6,18.6,,0.1,19.4,,,60,,
6일,,0.2,,18.8,20.5,,6.8,,0,35.5,,1.3
7일,,0,4,,4,,,,0.9,,1.2,0
8일,3.6,,12.5,,,,,,,,37.1,
9일,2.5,,,,,0.7,35.5,0,,,1,
10일,2.6,,,0.3,,0,,,,0,,
11일,0,1,,14.6,,0,0.2,,,,0,3
12일,0,1.4,,,23.4,0.1,,0.1,,,,
13일,0.1,0.9,,0,2.3,,,0,0.1,,,0.1
14일,,,,36.7,,0,,0,6.4,,,
15일,,,16.6,,0,,,,0.2,,,
16일,3.1,,0.1,,0,,,,,,,0
17일,11.2,,,,0.2,,,,,,,0.1
18일,0,,8,,9.9,,,,,1,,
19일,,,22,,,2.3,,,,,,1.8
20일,,,,,,,,,0.2,,,
21일,,,13.5,,,,,,32.9,,0.4,
22일,0.8,0,0.6,2.7,6.2,,,,,,,
23일,0,2,,38.9,22.4,,,1.1,,0.4,,0
24일,,,,3.6,,,,20.3,,,10.1,
25일,,,,,,,,0,,,,
26일,,,,,,30.3,,78.2,,21.7,,0
27일,,,,,,50.4,,53,,0.2,,
28일,,35,,,,0.3,1.2,140,0,13.2,,0
29일,,,,,,9.2,,,,0.2,,0
30일,,,,,0,22.4,,73.3,,,,0
31일,,,,,,,,42.6,,0,,
